ISOALPHA,COUNTRYNM,original_gpw_name,updated_gpw_name,notes
RUS,russian federation,kostromskaja,kostroma,
RUS,russian federation,krasnodarskij,krasnodar,
RUS,russian federation,krasnojarskij,krasnoyarsk,
RUS,russian federation,kurganskaja,kurgan,
RUS,russian federation,kurskaja,kursk,
RUS,russian federation,leningradskaja,leningrad,
RUS,russian federation,lipeckaja,lipetsk,
RUS,russian federation,magadanskaja,magadan,
RUS,russian federation,marij jel,mariy-el,
RUS,russian federation,mordovija,mordovia,
RUS,russian federation,moskovskaja,moscow city,
RUS,russian federation,moskva,moskva,
RUS,russian federation,murmanskaja,murmansk,
RUS,russian federation,nizhegorodskaja,nizhegorod,
RUS,russian federation,novgorodskaja,novgorod,
RUS,russian federation,novosibirskaja,novosibirsk,
RUS,russian federation,omskaja,omsk,
RUS,russian federation,orenburgskaja,orenburg,
RUS,russian federation,orlovskaja,orel,
RUS,russian federation,penzenskaja,penza,
RUS,russian federation,permskij,perm,
RUS,russian federation,primorskij,primorye,
RUS,russian federation,pskovskaja,pskov,
RUS,russian federation,rjazanskaja,ryazan,
RUS,russian federation,rostovskaja,rostov,
RUS,russian federation,saha,sakha,
RUS,russian federation,sahalinskaja,sakhalin,
RUS,russian federation,samarskaja,samara,
RUS,russian federation,sankt-peterburg,city of st. petersburg,
RUS,russian federation,saratovskaja,saratov,
RUS,russian federation,severnaja osetija - alanija,north ossetia,
RUS,russian federation,smolenskaja,smolensk,
RUS,russian federation,stavropolskij,stavropol,
RUS,russian federation,sverdlovskaja,sverdlovsk,
RUS,russian federation,tambovskaja,tambov,
RUS,russian federation,tatarstan,tatarstan,
RUS,russian federation,tjumenskaja,,
RUS,russian federation,tomskaja,tomsk,
RUS,russian federation,tulskaja,tula,
RUS,russian federation,tverskaja,tver,
RUS,russian federation,tyva,tuva,
RUS,russian federation,udmurtskaja,udmurt,
RUS,russian federation,uljanovskaja,ulyanovsk,
RUS,russian federation,vladimirskaja,vladimir,
RUS,russian federation,volgogradskaja,volgograd,
RUS,russian federation,vologodskaja,vologda,
RUS,russian federation,voronezhskaja,voronezh,
RUS,russian federation,zabajkalskij,zabaykalye,
RWA,rwanda,east,iburasirazuba,
RWA,rwanda,north,amajyaruguru,
RWA,rwanda,south,amajyepfo,
RWA,rwanda,west,iburengerazuba,
SAU,saudi arabia,al-baha,al bahah,
SAU,saudi arabia,al-hudud ash shamaliyah,al hudud ash shamaliyah,
SAU,saudi arabia,al-madinah al-monawarah,al madinah,
SAU,saudi arabia,al-qaseem,al qassim,
SAU,saudi arabia,al-riyadh,ar riyad,
SAU,saudi arabia,makkah al-mokarramah,makkah,
SDN,sudan,algadarif,al qadarif,
SDN,sudan,algazeera,al jazirah,
SDN,sudan,northern darfur,north darfur,
SDN,sudan,northern kordofan,,
SDN,sudan,southern darfur,,
SDN,sudan,western darfur,,
SOM,somalia,banadir,banaadir,
SOM,somalia,central,,
SOM,somalia,north-east,,
SOM,somalia,south,,
SRB,serbia,south and east serbia,,
SRB,serbia,sumadija and west serbia,,
SRB,serbia,vojvodin,,
SSD,south sudan,northern bahr el ghazal,north bahr-al-ghazal,
SSD,south sudan,warrap,warap,
SSD,south sudan,western bahr el ghazal,west bahr-al-ghazal,
SSD,south sudan,western equatoria,west equatoria,
SYR,syrian arab republic,al-hasakeh,al hasakah,
SYR,syrian arab republic,ar-raqqa,ar raqqah,
SYR,syrian arab republic,as-sweida,as suwayda,
SYR,syrian arab republic,deir-ez-zor,dayr az zawr,
SYR,syrian arab republic,rural damascus,rif dimashq,
TCD,chad,barh el gazal,barh el ghazel,
TCD,chad,ennedi,,
TCD,chad,ndjamena,ville de ndjamena,
TGO,togo,centrale,centre,
TGO,togo,lome commune,,maritime already mapped
THA,thailand,suphanburi,suphan buri,
TJK,tajikistan,gorno-badakhshan autonomous,gorno-badakhshan,
TJK,tajikistan,regions of republican subordination,districts of republican subordination,
TKM,turkmenistan,ashgabat city,asgabat,
TON,tonga,ongo niua,niuas,
TTO,trinidad and tobago,city of san fernando,san fernando,
TTO,trinidad and tobago,city port of spain,port of spain,
TTO,trinidad and tobago,couva -tabaquite-talparo,,
TTO,trinidad and tobago,mayaro -rio claro,,
TTO,trinidad and tobago,saint andrew,,sangre grande is already mapped
TTO,trinidad and tobago,saint david,tobago,
TTO,trinidad and tobago,saint george,,diego martin is already mapped
TTO,trinidad and tobago,saint john,tobago,
TTO,trinidad and tobago,saint mary,tobago,
TTO,trinidad and tobago,saint patrick,,siparia is already mapped
TTO,trinidad and tobago,saint paul,tobago,
TTO,trinidad and tobago,san juan -laventille,,
TTO,trinidad and tobago,tunapuna -piarco,,
TUN,tunisia,manouba,manubah,
TUN,tunisia,sidi bouzid,sidi bou zid,
TUR,turkey,adyaman,adiyaman,
TUR,turkey,agr,agri,
TUR,turkey,aydn,aydin,
TUR,turkey,balkesir,balikesir,
TUR,turkey,bartn,bartin,
TUR,turkey,cankr,cankiri,
TUR,turkey,diyarbakr,diyarbakir,
TUR,turkey,elazg,elazig,
TUR,turkey,igdr,igdir,
TUR,turkey,krkkale,kinkale,
TUR,turkey,krklareli,kirklareli,
TUR,turkey,krsehir,kirsehir,
TUR,turkey,sanlurfa,saliurfa,
TUR,turkey,srnak,sirnak,
TWN,taiwan,changhua,,
TWN,taiwan,chiayi,,
TWN,taiwan,chiayi city,,
TWN,taiwan,hsinchu,,
TWN,taiwan,hsinchu city,,
TWN,taiwan,hualien,,
TWN,taiwan,kaohsiung city,kaohsiung,
TWN,taiwan,keelung city,,
TWN,taiwan,kinmen,,
TWN,taiwan,lienchiang,,
TWN,taiwan,miaoli,,
TWN,taiwan,nantou,,
TWN,taiwan,new taipei city,new taipei,
TWN,taiwan,penghu,,
TWN,taiwan,pingtung,,
TWN,taiwan,taichung city,taichung,
TWN,taiwan,tainan city,tainan,
TWN,taiwan,taipei city,taipei,
TWN,taiwan,taitung,,
TWN,taiwan,taoyuan,,
TWN,taiwan,yilan,,
TWN,taiwan,yunlin,,
TZA,united republic of tanzania,kilanjaro,kilimanjaro,
TZA,united republic of tanzania,mijini magharibi unguja,zanzibar west,
TZA,united republic of tanzania,pwai,pwani,
UGA,uganda,abim,,
UGA,uganda,agago,,
UGA,uganda,alebtong,,
UGA,uganda,amolatar,,
UGA,uganda,amudat,,
UGA,uganda,amuria,,
UGA,uganda,amuru,,
UGA,uganda,budaka,,
UGA,uganda,bududa,,
UGA,uganda,buhweju,,
UGA,uganda,buikwe,,
UGA,uganda,bukedea,,
UGA,uganda,bukomansimbi,,
UGA,uganda,bukwo,,
UGA,uganda,bulambuli,,
UGA,uganda,buliisa,,
UGA,uganda,butaleja,,
UGA,uganda,butambala,,
UGA,uganda,buvuma,,
UGA,uganda,buyende,,
UGA,uganda,dokolo,,
UGA,uganda,gomba,,
UGA,uganda,ibanda,,
UGA,uganda,isingiro,,
UGA,uganda,kaabong,,
UGA,uganda,kaliro,,
UGA,uganda,kalungu,,
UGA,uganda,kibuku,,
UGA,uganda,kiruhura,,
UGA,uganda,kiryandongo,,
UGA,uganda,koboko,,
UGA,uganda,kole,,
UGA,uganda,kween,,
UGA,uganda,kyankwanzi,,
UGA,uganda,kyegegwa,,
UGA,uganda,lamwo,,
UGA,uganda,luuka,,
UGA,uganda,lwengo,,
UGA,uganda,lyantonde,,
UGA,uganda,manafwa,,
UGA,uganda,maracha,,
UGA,uganda,mitooma,,
UGA,uganda,mityana,,
UGA,uganda,nakaseke,,
UGA,uganda,namayingo,,
UGA,uganda,namutumba,,
UGA,uganda,napak,,
UGA,uganda,ngora,,
UGA,uganda,ntoroko,,
UGA,uganda,nwoya,,
UGA,uganda,otuke,,
UGA,uganda,oyam,,
UGA,uganda,rubirizi,,
UGA,uganda,serere,,
UGA,uganda,sheema,,
UGA,uganda,ssembabule,sembabule,
UGA,uganda,zombo,,
UKR,ukraine,avtonomna respublika krym,crimea,
UKR,ukraine,cherkaska,cherkasy,
UKR,ukraine,chernihivska,chernihiv,
UKR,ukraine,chernivetska,chernivtsi,
UKR,ukraine,dnipropetrovska,dnipropetrovsk,
UKR,ukraine,donetska,donetsk,
UKR,ukraine,ivano-frankivska,ivano-frankivsk,
UKR,ukraine,kharkivska,kharkiv,
UKR,ukraine,khersonska,kherson,
UKR,ukraine,khmelnytska,khmelnytskyy,
UKR,ukraine,kirovohradska,kirovohrad,
UKR,ukraine,kyivska,kiev,
UKR,ukraine,luhansk (miskrada),luhansk,
UKR,ukraine,lvivska,lviv,
UKR,ukraine,misto kyiv,kiev city,
UKR,ukraine,mykolaivska,mykolayiv,
UKR,ukraine,odeska,odessa,
UKR,ukraine,poltavska,poltava,
UKR,ukraine,rivnenska,rivne,
UKR,ukraine,sevastopol (miskrada),sevastopol,
UKR,ukraine,sumska,sumy,
UKR,ukraine,ternopilska,ternopil,
UKR,ukraine,vinnytska,vinnytsya,
UKR,ukraine,volynska,volyn,
UKR,ukraine,zakarpatska,zakarpattia,
UKR,ukraine,zaporizka,zaporizhia,
UKR,ukraine,zhytomyrska,zhytomyr,
UZB,uzbekistan,city of tashkent,toshkent shahri,
UZB,uzbekistan,jizzak,jizzax,
UZB,uzbekistan,republic karakalpakstan,qaraqalpaqstan,
UZB,uzbekistan,syrdarya,sirdaryo,
VCT,saint vincent and the grenadines,barrouallie,saint patrick,
VCT,saint vincent and the grenadines,bridgetown,,
VCT,saint vincent and the grenadines,calliaqua,saint george,
VCT,saint vincent and the grenadines,chateaubelair,saint david,
VCT,saint vincent and the grenadines,colonarie,charlotte,
VCT,saint vincent and the grenadines,georgetown,charlotte,
VCT,saint vincent and the grenadines,kingstown,saint george,
VCT,saint vincent and the grenadines,kingstown suburbs,saint george,
VCT,saint vincent and the grenadines,layou,saint andrew,
VCT,saint vincent and the grenadines,marriaqua,saint george,
VCT,saint vincent and the grenadines,northern grenadines,grenadines,
VCT,saint vincent and the grenadines,sandy bay,charlotte,
VCT,saint vincent and the grenadines,southern grenadines,grenadines,
VIR,united states virgin islands,saint croix island,saint croix,
VIR,united states virgin islands,saint john island,saint john,
VIR,united states virgin islands,saint thomas island,saint thomas,
VNM,viet nam,central highlands,,
VNM,viet nam,mekong river delta,,
VNM,viet nam,north and south central coast,,
VNM,viet nam,northern midlands and mountains,,
VNM,viet nam,red river delta,,
VNM,viet nam,southeast,,
WSM,samoa,apia urban area,,
WSM,samoa,north west upolu,,
WSM,samoa,rest of upolu,,
WSM,samoa,savaii,,
YEM,yemen,al dhalee,al dali,
YEM,yemen,al maharah,al mahrah,
YEM,yemen,amanat al asimah (sanaa),amanat al asimah,
YEM,yemen,hadramaut,hadramawt,
YEM,yemen,sanaa,sana,
ZAF,south africa,free,free state,
