ISO,COUNTRYNM,country_sd
SAU,saudi arabia,0.011097638666546469
SDN,sudan,0.004639209745552662
SEN,senegal,0.005214531072699526
SGP,singapore,0.020138771365713317
SLB,solomon islands,0.0029122411138787795
SLE,sierra leone,0.007363925183646379
SLV,el salvador,0.011147740131097516
SMR,san marino,0.009268432111976721
SOM,somalia,0.0017564803221136321
SPM,saint pierre and miquelon,0.14073326788188986
SRB,serbia,0.006340966076564293
SSD,south sudan,0.010747531401171297
STP,sao tome and principe,0.004854654085442292
SUR,suriname,0.003159522961692018
SVK,slovakia,0.007165652090314184
SVN,slovenia,0.005697227098970308
SWE,sweden,0.004145373890708991
SWZ,swaziland,0.007374829010223523
SXM,sint maarten (dutch part),0.028822573579967852
SYC,seychelles,0.009523809523809523
SYR,syrian arab republic,0.01161935997837224
TCA,turks and caicos islands,0.008348847845559082
TCD,chad,0.008286205279440498
TGO,togo,0.00699518983687585
THA,thailand,0.007687782998350108
TJK,tajikistan,0.007449701305192277
TKM,turkmenistan,0.011182502720706977
TLS,timor-leste,0.0087587248375269
TON,tonga,0.005600064242240535
TTO,trinidad and tobago,0.007912397274768584
TUN,tunisia,0.0061863687038715654
TUR,turkey,0.004159475255292848
TUV,tuvalu,0.0195496982649362
TWN,taiwan,0.008514563423430807
TZA,united republic of tanzania,0.0018993475080119476
UGA,uganda,0.003718842601254347
UKR,ukraine,0.007445537898916134
URY,uruguay,0.0030202766021110022
USA,united states of america,0.004841655579802734
UZB,uzbekistan,0.012848498860811089
VCT,saint vincent and the grenadines,0.005271615804467444
VEN,venezuela (bolivarian republic of),0.006772984518639151
VGB,british virgin islands,0.014245038821899238
VIR,united states virgin islands,0.008782853602813395
VNM,viet nam,0.010657001106085862
VUT,vanuatu,0.004323182765123649
WLF,wallis and futuna islands,0.014876314645156671
WSM,samoa,0.004515598545079135
XKO,kosovo,0.009082688248474783
YEM,yemen,0.009331506553395505
ZAF,south africa,0.007518433923804306
ZMB,zambia,0.004025048364927332
ZWE,zimbabwe,0.00483893405903249
