ISOALPHA,COUNTRYNM,NAME1,tot_popn_2010,tot_popn_2020,A00_04B,A05_09B,A10_14B,A15_19B,A20_24B,A25_29B,A30_34B,A35_39B,A40_44B,A45_49B,A50_54B,A55_59B,A60_64B,A65_69B,A70_74B,A75_79B,A80_84B,A85PLUSB,row_sum
ABW,aruba,noord-tanki leendert,21518,24652,0.06695795615270361,0.0735127409688988,0.0785044465340266,0.07240268300456328,0.04739262817781167,0.05218151253845516,0.06992772142907548,0.0825864631740314,0.09342486916461368,0.09841764323636344,0.08203145928159639,0.06206482602037838,0.044771057222995535,0.028536109979908197,0.02283817190370443,0.012956456114477957,0.007863463498527583,0.0036297915978682023,21494.703765046634
ABW,aruba,oranjestad east,14333,13074,0.057287752317349075,0.059862078264077696,0.06478854252184983,0.06652777775029543,0.04964629190411137,0.05434535799535799,0.06190597218105632,0.07358399901173203,0.0789489375230804,0.09091318845916004,0.08599152146667975,0.07811307496358397,0.054661594036992216,0.041412190949461594,0.033087366418348155,0.021729874979392563,0.015982395630580983,0.011212083626890336,14318.25669272097
ABW,aruba,oranjestad west,13991,14884,0.0622428279878047,0.06720208911046856,0.0672022183492751,0.06386272790491519,0.0506850055712461,0.05882873478187939,0.06953098210502957,0.07743657087096312,0.08434077215228007,0.093790644467156,0.0874290471662436,0.06991783520782252,0.050694310879115564,0.036127707489056804,0.02682299481462018,0.017445563754129142,0.00876282145965177,0.007677145928342666,13976.211854884816
ABW,aruba,paradera,12037,14918,0.07250213322362065,0.07934590180208889,0.0791648816254635,0.07700649490941941,0.0533207304557775,0.04971506222460451,0.05980470608034389,0.08087755387010333,0.08754065476980079,0.08916790904276067,0.07592544333266626,0.06268771548849146,0.04647473053639338,0.034316678515278025,0.024768610439153904,0.015041134017067593,0.006575517686170911,0.005764141980795436,12023.525502172748
ABW,aruba,san nicolas north,10445,9891,0.06260015414487186,0.06976058906682128,0.07640572335478826,0.07547170164192465,0.059687094517567596,0.06113880905008502,0.056786289648535944,0.06965503486908065,0.07100583153848135,0.08314902229059504,0.0772339908103116,0.06633010642851307,0.05190796965550589,0.03872224152494906,0.03446878080298156,0.02429167791324091,0.012249765485948895,0.009135217255797313,10433.449974383038
ABW,aruba,san nicolas south,4856,3784,0.06340460293238691,0.06496837526786196,0.07433912900371278,0.06943345002796014,0.06318106967872644,0.047557073954753025,0.05470081973451761,0.05246940133617214,0.05960924791275159,0.07703142540634172,0.09288047316612376,0.07837517308171185,0.054253548731567035,0.041751413159580975,0.036613274351279285,0.03304264279582285,0.017636743958547106,0.01875213550018276,4850.325690964829
ABW,aruba,santa cruz,12885,12139,0.06056491421325846,0.06855682789312359,0.07293092097702505,0.07713716710448457,0.05240656331978947,0.05484449537942665,0.06292073525966427,0.06620126358986433,0.07595807932352527,0.09379297989003853,0.0799121648298963,0.07015524459995645,0.05551752107910269,0.03877979727777411,0.030030683944728263,0.020356423429176117,0.011523018727850796,0.00841119916131515,12869.978233780927
ABW,aruba,savaneta,11531,12054,0.06692479450741926,0.06833475501907664,0.07811076321152721,0.07453935645876202,0.051884207876489584,0.05084999958628866,0.057335933224438695,0.06579609801004621,0.07679445076853877,0.0864753603110715,0.08638014443810471,0.06400932129662701,0.05244756990170691,0.04436264540439641,0.032426460895198184,0.024812781979372665,0.011654373486007836,0.006860983624927662,11518.035188028449
AFG,afghanistan,badakhshan,979353,1489481,0.17748215619772773,0.16625954033541343,0.1433545954140125,0.10975677618007572,0.08427507321525128,0.06885132324421363,0.05685372935713786,0.04640691495635451,0.03779593407450524,0.03042046785095918,0.024314569785988307,0.01919730303079853,0.01548883770342666,0.00991377910392686,0.0062080585657867445,0.003420940984421607,0,0,855508.8643879046
AFG,afghanistan,badghis,509850,791049,0.17748605733865422,0.166263324101462,0.14335737704721868,0.10975875058010942,0.08427560955389907,0.06885048411344195,0.05685394056020227,0.04640651845557046,0.03779551567649346,0.03042030460983573,0.024313920925232546,0.019196570828301566,0.015485693785846879,0.009911365014253848,0.0062054906935089405,0.003419076715968892,0,0,445375.6408850795
