Country,Last endemic spread,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,Population in 1970 (from data world bank),Source,Notes
Tanzania,1970,7,1427,567,453,40,1391,75,234,28,182,4547,1746,768,629,411,503,1649,1462,1095,599,156,92,90,201,5735,12283,12672,2960,1206,1045,6416,854,373,1200,928,542,605,856,1204,1442,1584,1002,1074,836,1461,2762,3027,1629,455,117,32,0,0,0,0,0,0,0,0,0,0,13535487,"RB p1197, 947, 357",
Zimbabwe,1970,,515,501,16,2,12,1,7,255,427,696,44,40,80,41,1,17,246,1864,223,255,87,0,0,1,33,181,685,1823,861,1034,456,87,11,1,157,153,34,90,133,12,3,15,38,200,40,35,30,10,33,6,0,0,0,0,0,0,0,0,0,0,5289312,"RB p1133, 975, 1198, 360",
Benin (Dahomey),1969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119,132,249,703,168,490,815,367,58,0,,,,,,,,,,,2912338,RB p852,
Togo,1969,,,,,,3,2,5,42,78,66,11,7,7,19,3,33,0,29,301,13,1,0,0,174,535,470,65,107,152,147,190,628,228,226,2,6,9,44,66,347,281,571,285,34,13,201,,,,,,,,,,,,,,,2115522,RB p355,
Sierra Leone,1969,6,,44,18,2,6,,16,1,6,2,6,998,2378,2333,1981,565,134,55,52,29,7,8,3,484,650,750,465,200,157,40,34,36,12,5,49,946,4846,513,96,12,6,78,14,90,60,293,,,,,,,,,,,,,,,2744890,RB p355,
Mozambique,1969,,,,,,,,1292,42,345,75,454,34,484,681,415,513,286,239,638,412,240,144,72,81,220,99,29,384,166,358,394,28,31,94,32,67,44,14,91,69,102,243,115,19,,,104,145,11,0,0,0,0,0,,,,,,,9022747,"RB p 360, 1198",
Kenya,1969,217,200,,108,1,278,4,29,5,1,30,0,0,3,1800,15,1,200,0,0,0,0,0,3551,3372,764,824,479,133,45,10,4,0,0,14,101,660,1108,796,572,397,289,95,249,273,276,159,,,,,,,,,,,,,,,11301394,RB p 357,
Burkina Faso (Upper Volta),1968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2360,1550,341,8,14,69,195,100,0,0,,,,,,,,,,,5624592,"RB p 893, 852",
Cameroon,1968,,,,,,32,85,138,120,32,185,265,492,475,463,138,1061,20,271,82,1,0,3,242,1063,931,106,139,7,55,163,721,1106,63,197,42,42,4,5,17,0,1145,743,135,88,28,2,,,,,,,,,,,,,,,6519754,RB p355,
Zambia,1968,,,,59,258,98,305,1241,4042,3856,3400,152,61,179,23,32,96,27,59,20,9,3,10,124,355,6354,490,98,671,20,28,10,166,693,1024,3538,576,459,210,178,350,233,210,1881,2214,528,63,47,33,0,2,0,0,0,0,,,,,,,4179062,"RB p 360, 1198",
Uganda,1968,,506,104,97,7,13,6,17,1,32,2,0,0,0,0,2,32,0,0,0,10,32,0,128,4737,1558,581,389,254,47,5,43,243,341,199,101,231,477,360,334,740,400,631,419,510,1351,614,,,,,,,,,,,,,,,9405606,RB p356,
Niger,1968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1740,1038,445,330,463,1023,1187,678,28,0,,,,,,,,,,,4510645,"RB p893, 852",
Mali,1968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1706,1521,1096,343,626,281,293,134,1,0,,,,,,,,,,,5949042,"RB p893, 852",
Liberia,1968,,,,,,,,,,,,,,,274,,104,,,,,,,,,,87,14,0,5,0,0,,,,,,230,1717,1869,136,1116,325,88,258,40,32,,,,,,,,,,,,,,,1400730,RB p355,
Guinea,1968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,2948,224,320,70,56,1530,330,16,0,,,,,,,,,,,4154606,RB p852,
Ghana,1967,300,,,13,153,1468,883,57,8,184,185,278,12,1,48,0,59,43,123,389,77,1470,2025,20,143,702,1646,848,1269,91,353,478,695,865,79,59,251,154,161,104,139,70,145,23,9,7,13,,,,,,,,,,,,,,,8735493,RB p355,
"French West Africa (Benin, Burkina Faso, Côte d'Ivoire, Guinea, Mali, Mauritania, Niger, Senegal)",,,,,,,1595,767,3009,2319,1586,4084,1810,1850,2635,2296,4691,3909,3128,2348,2353,1620,980,2007,7584,4787,7442,7734,7821,2713,1890,3542,4046,7254,4659,3764,3958,5948,12693,6676,5751,6107,10890,9602,2868,2329,1372,2005,4022,1609,103,0,0,0,0,0,0,0,0,0,0,0,33657577,RB p 355,
"Ruanda-Urundi (Rwanda, Burundi)",,,,,,,3,14,7,2,3,72,481,77,22,62,30,71,129,67,240,26,53,55,18,2201,848,76,447,147,43,484,571,819,219,234,113,58,34,29,77,12,8,54,11,0,1218,363,74,301,215,450,0,0,0,0,0,0,0,0,0,0,7236421,RB p356,
Côte d'Ivoire,1966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4656,2141,282,623,27,10,2,0,0,0,,,,,,,,,,,5102070,RB p852,
Mauritania,1962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,40,0,0,2,76,0,0,0,0,,,,,,,,,,,1146776,RB p852,
Senegal,1963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201,232,231,2,2,0,0,0,0,0,,,,,,,,,,,4257508,RB p852,
