NAME1,ISOALPHA,COUNTRYNM,tot_popn_2020,A00_04B,A05_09B,A10_14B,A15_19B,A20_24B,A25_29B,A30_34B,A35_39B,A40_44B,A45_49B,A50_54B,A55_59B,A60_64B,A65_69B,A70_74B,A75_79B,A80_84B,A85PLUSB
1,GUM,guam,4011,310,337,380,331,333,272,240,249,291,281,245,218,188,103,96,63,42,24
10,GUM,guam,1725,181,172,197,190,120,82,90,109,120,111,95,62,59,46,37,26,11,7
11,GUM,guam,8686,887,835,848,742,615,587,557,585,648,611,480,419,316,175,137,118,59,52
12,GUM,guam,1384,120,108,122,122,93,88,85,121,96,95,83,82,52,38,30,17,12,11
13,GUM,guam,5380,446,468,430,473,791,358,424,393,378,300,198,198,186,95,109,58,37,26
14,GUM,guam,2567,252,186,198,248,194,177,155,201,169,162,134,135,106,77,56,61,30,16
15,GUM,guam,3152,292,258,338,318,205,193,192,214,285,197,183,158,108,75,52,38,20,17
16,GUM,guam,23453,1755,1668,1721,1519,1601,1720,1783,2019,2192,1986,1573,1264,997,646,401,297,186,103
17,GUM,guam,751,89,60,82,82,57,43,40,56,54,44,38,36,32,16,6,2,5,0
18,GUM,guam,23608,2277,2284,2412,2179,2019,1713,1567,1587,1602,1602,1283,937,839,460,404,222,124,78
19,GUM,guam,7057,737,698,701,674,540,433,418,489,488,397,366,360,318,171,115,72,42,21
2,GUM,guam,4659,441,434,456,429,305,258,288,322,307,300,259,233,206,136,128,77,46,23
3,GUM,guam,2382,219,209,197,202,167,162,137,169,160,180,141,135,95,74,42,34,27,22
4,GUM,guam,9918,822,842,928,907,698,540,556,736,756,737,594,538,455,262,215,165,102,54
5,GUM,guam,8561,763,763,829,786,586,517,580,632,612,630,554,447,292,199,165,97,60,35
6,GUM,guam,51241,4614,4602,5122,4946,3724,3405,3098,3403,3510,3465,2995,2476,2149,1385,1075,662,387,194
6 october,EGY,egypt,2866230,331082,318537,303567,326477,307393,255788,181352,173255,137824,118420,93330,67145,50607,32352,22041,0,0,0
7,GUM,guam,1094,83,73,67,63,80,107,96,97,114,87,63,62,37,16,20,11,3,6
8,GUM,guam,1844,170,154,196,209,132,110,115,123,136,115,107,86,68,49,33,17,8,8
9,GUM,guam,18894,1686,1660,1778,1824,1646,1428,1290,1404,1283,1275,1057,888,674,356,273,190,85,74
aargau,CHE,switzerland,687055,34907,34485,37432,40689,43974,47337,45706,47837,57470,60139,52989,45539,40582,34274,25094,20669,15044,12573
abaiang,KIR,kiribati,4975,678,534,589,529,502,407,325,272,296,253,188,141,96,73,53,30,13,6
abemama,KIR,kiribati,2558,348,274,303,272,258,209,167,140,152,130,97,73,49,37,27,15,6,3
abia,NGA,nigeria,3994320,455381,470625,483409,478451,405472,345435,267371,220151,200156,162699,144107,82317,84080,49213,48870,26040,26542,28139
abidjan,CIV,cote d'ivoire,5280721,830835,743927,671692,571453,482895,410774,352096,292803,242278,200587,164899,132656,106367,78170,49681,25706,0,0
abim,UGA,uganda,171138,28150,25494,22598,18178,14647,11430,8972,7059,5846,4231,3716,2209,2024,1384,1276,691,605,613
abkhazia,GEO,georgia,283807,14436,13354,16190,17424,22730,22023,20922,18200,18147,19781,20316,17659,14226,9408,0,0,0,0
abra,PHL,philippines,250600,26353,27348,25099,24967,22106,19763,17306,14661,14013,12835,11437,9129,6891,4942,4835,3219,0,0
abruzzo,ITA,italy,1306005,55291,55509,57402,62321,68910,75650,83425,95553,101772,101921,90696,83273,83567,64807,67834,0,0,0
absheron,AZE,azerbaijan,477778,40348,35003,39259,45288,50796,47064,39806,36551,35370,34611,25297,16330,8527,7210,6871,3629,1503,584
abu dhabi,ARE,united arab emirates,2640723,119380,113945,105291,98198,181493,274252,264482,206606,140880,93176,57314,27717,11380,6047,3957,1800,0,0
abuja,NGA,nigeria,4647518,725403,580415,457032,400890,484248,574237,429545,325889,225140,159975,102128,54097,37796,20761,17604,9009,11554,13345
abyan,YEM,yemen,673320,84141,92183,92659,81223,63802,53382,38655,36028,26534,21700,17296,10534,12394,7891,8963,3429,3852,2865
acklins,BHS,bahamas,745,67,73,72,40,49,52,53,54,56,32,33,23,27,16,23,24,14,9
acores,PRT,portugal,238543,12880,13998,15677,16382,17070,17733,19637,18857,17259,17338,15665,13217,10836,9030,7583,6705,4469,3445
acoua,MYT,mayotte,4852,702,688,640,539,197,261,336,289,248,151,164,134,100,71,59,42,23,10
acquaviva,SMR,san marino,2074,105,102,104,94,89,103,131,172,187,195,162,133,119,106,83,70,55,54
acre,BRA,brazil,970028,98226,104317,111368,97755,89309,85604,75058,60671,50700,39974,32911,25975,19321,14757,10265,6989,4538,3705
ad dakhliyah,OMN,oman,581296,62188,48337,39202,41904,58671,82101,64900,45040,29918,20915,16584,11921,7998,5713,5093,3137,0,0
ad daqahliyah,EGY,egypt,6714599,676001,640639,651310,745633,679405,543816,420354,419867,391196,346749,289800,210763,148743,111090,70549,0,0,0
adamaoua,CMR,cameroon,1360655,246839,216368,180142,148884,121930,96374,75819,58472,51623,37959,31488,20104,20349,11891,12398,5841,5610,4585
adamawa,NGA,nigeria,4464150,784075,681607,518877,459385,407123,365385,284274,214661,189382,130022,122499,61830,72674,36769,47034,20777,26532,23520
adana,TUR,turkey,1976820,180608,175927,190803,184337,159544,174288,169003,151932,124093,130932,100947,92254,64866,41928,31161,23306,13321,6176
addis abeba,ETH,ethiopia,3848632,253481,268839,320334,493853,518646,475269,298160,242050,153649,130866,103264,70699,60752,44491,33911,17378,12324,9653
addu atoll,MDV,maldives,36011,3367,3843,5069,4369,3442,2253,2440,2271,2138,1511,1019,844,893,0,0,0,0,0
aden,YEM,yemen,950178,103007,100653,106461,105239,110010,83186,68509,62712,51017,37411,31387,19610,18135,10607,10000,3922,3581,2449
adh dhahirah,OMN,oman,249101,25647,19925,16156,17265,25005,36719,28847,20004,13072,9063,7138,5109,3333,2349,2095,1297,0,0
adiyaman,TUR,turkey,579088,61981,60127,66185,65724,52746,50728,45809,38403,28761,28841,20225,19620,16046,11487,9478,7166,4738,2326
adjumani,UGA,uganda,267085,43901,39767,35253,28365,22877,17852,14011,11022,9126,6604,5805,3449,3163,2163,1996,1080,947,960
adjuntas,PRI,puerto rico,19838,1230,1324,1558,1643,1400,1357,1209,1109,1315,1331,1312,1274,1160,895,646,484,310,302
adrar,DZA,algeria,595822,72638,65464,66439,68207,66274,56157,35796,31399,28089,24831,16602,13585,10015,9177,5914,4913,2040,1665
adrar,MRT,mauritania,595822,72638,65464,66439,68207,66274,56157,35796,31399,28089,24831,16602,13585,10015,9177,5914,4913,2040,1665
adygey,RUS,russian federation,437734,26939,23159,22564,28161,35768,33778,30337,29154,27312,31599,33486,29276,23378,13330,23791,10694,9940,4138
aegean,GRC,greece,518050,26563,25149,25590,25705,30528,37131,39826,38464,37724,32516,31073,28398,30823,23280,22186,19774,15703,11391
afar,ETH,ethiopia,2009871,187592,294484,322012,261098,165202,127189,106934,106682,91442,59313,43408,21004,21547,8988,7244,2872,2965,1803
afyonkarahisar,TUR,turkey,659677,53424,53810,59492,56548,53124,54926,51611,46092,42112,43335,35737,33916,26017,20036,17931,13836,7857,2751
agadez,NER,niger,678353,123344,109890,82871,68475,54236,45604,38271,32582,24886,21193,16172,11759,9189,6728,4919,3268,2316,2080
agago,UGA,uganda,275163,45252,40985,36330,29226,23555,18381,14428,11351,9401,6803,5977,3552,3255,2227,2053,1112,973,987
agalega,MUS,mauritius,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
agri,TUR,turkey,571937,76696,80147,81055,67654,54584,48608,38071,33057,18587,24219,14282,14947,10154,7956,5774,3870,2064,1377
aguada,PRI,puerto rico,41970,2321,2531,3060,3319,3054,2678,2824,2592,3005,3159,3064,2831,2406,1861,1397,996,550,432
aguadilla,PRI,puerto rico,57628,3468,3663,4016,4151,3783,3751,3869,3762,3660,3695,3711,3552,3773,3055,2322,1648,1053,857
aguas buenas,PRI,puerto rico,28415,1784,1985,2120,2093,1950,1926,2003,1770,1783,1985,1936,1776,1609,1234,974,772,426,356
aguascalientes,MEX,mexico,1411726,137555,145841,140118,137444,120344,105963,100440,97655,82752,68177,56621,42539,33147,23797,17282,12092,8189,7013
agusan del norte,PHL,philippines,408022,48742,47842,47504,43992,36303,28844,25510,23561,22367,20214,17508,13758,9670,7047,5722,3514,0,0
agusan del sur,PHL,philippines,843923,111324,107981,100426,95530,77261,60176,52303,48564,44984,39175,31740,22847,16236,11603,8660,4917,0,0
ahal,TKM,turkmenistan,802768,120020,117648,111956,132592,128322,106975,91794,80409,71633,67600,55503,38188,23245,13994,16366,9724,0,0
ahuachapan,SLV,el salvador,354849,36646,46498,45282,37482,29972,26834,22753,20014,16925,14400,12107,10263,8482,7097,5239,3966,2449,1881
aibonito,PRI,puerto rico,25426,1512,1580,1818,2033,1939,1637,1501,1441,1652,1871,1822,1612,1464,1171,897,667,434,429
aichi,JPN,japan,7503643,355606,362644,375387,371383,415001,474865,532155,635486,554546,485468,424700,461555,566044,476958,384800,300675,203052,166777
aileu,TLS,timor-leste,67930,9200,10526,9682,8458,6092,4492,2199,2983,3186,2620,2269,1487,2574,1470,669,0,0,0
ailinglaplap,MHL,marshall islands,1501,220,198,201,170,177,134,77,59,56,56,50,44,30,15,10,0,0,0
ailuk,MHL,marshall islands,237,34,31,31,26,27,21,12,9,8,8,7,7,4,2,1,0,0,0
aimeliik,PLW,palau,208,21,16,20,8,12,19,27,16,14,16,15,8,9,0,1,1,3,4
ain defla,DZA,algeria,893925,89001,75381,87184,102885,104334,89247,68418,57376,48715,36581,32342,25123,17303,15411,12360,8406,4298,2760
ain temouchent,DZA,algeria,426948,39747,32555,34992,36487,39559,41285,36999,32799,29460,22998,19552,15577,10892,9331,7555,4763,2596,1774
ainaro,TLS,timor-leste,61434,10093,9702,8827,6163,4191,3820,2858,3261,2599,1727,1279,881,3594,1455,684,0,0,0
airai,PLW,palau,4659,250,316,368,330,273,398,588,620,609,447,236,121,87,67,53,35,41,21
aisen,CHL,chile,113077,9335,9109,9760,9966,9019,8744,8139,8651,8563,8428,6978,5308,3739,2856,2089,1455,0,0
aiwo,NRU,nauru,1439,227,163,148,129,145,139,111,86,69,70,54,39,21,7,4,0,0,0
ajaria,GEO,georgia,347128,23222,20947,18782,20581,24213,25347,23830,22596,22112,21750,24645,22272,19169,14106,0,0,0,0
ajlun,JOR,jordan,195315,22883,23952,22839,20492,17866,15042,12565,9644,6928,4810,3819,3341,2961,2508,1846,970,0,0
ajman,ARE,united arab emirates,480416,22149,21132,19515,18205,33239,49606,47638,37179,25360,16766,10313,4992,2069,1106,729,331,0,0
akershus,NOR,norway,638323,41875,43595,44505,44057,36355,31461,36987,49099,53487,49716,43440,36852,36564,28877,20395,15536,12394,11277
akita,JPN,japan,946350,31444,35849,41641,41407,33473,42114,51457,55990,52739,58416,66579,78066,81386,62764,64900,63787,49633,40182
aklan,PHL,philippines,644038,67049,66557,69080,68663,59134,50401,43832,38073,36072,31587,27395,22390,18340,14115,10858,7408,0,0
aksaray,TUR,turkey,382718,36184,34871,38995,35158,32136,33225,32557,28929,21626,23122,17145,15361,14135,9280,7890,5332,2802,1437
akwa ibom,NGA,nigeria,5840815,712647,758618,700879,684053,579766,502327,387982,332791,294934,235913,204292,106054,128057,62494,56441,24601,23127,22645
al ahmadi,KWT,kuwait,837361,72339,67137,54469,45100,60405,96529,94033,78761,52124,35608,21950,12831,8019,0,0,0,0,0
al bahah,SAU,saudi arabia,443017,28954,33799,39015,44867,45885,48615,44298,36545,28736,24492,15903,10843,9279,7197,4144,2729,0,0
al batinah,OMN,oman,1306804,130973,101418,82341,88297,132985,199878,151406,103954,69915,49137,38239,27425,17404,12096,10709,6578,0,0
al bayda,YEM,yemen,876753,128638,143819,135730,111962,75698,59613,39392,37903,29083,23406,20215,11473,13756,7235,8637,3239,3662,2733
al buraymi,OMN,oman,89008,6913,5292,4275,4845,8820,15555,11918,8191,5871,4054,2805,2096,1135,716,579,342,0,0
al butnan,LBY,libya,186812,19428,17816,18333,19350,19359,19128,16642,13196,9517,6724,4478,4129,3212,2702,1953,1542,829,566
al daayen,QAT,qatar,35672,2012,1755,1460,1334,3796,5561,5348,4581,3471,2294,1367,745,307,137,79,0,0,0
al dali,YEM,yemen,721860,112630,112927,106523,85550,64112,50549,34477,32509,24746,21189,16680,9505,10952,6226,7930,3101,3166,2159
al farwaniyah,KWT,kuwait,1293977,82640,72802,58216,54612,99874,171283,165358,138999,96827,68096,42803,22645,11022,0,0,0,0,0
al hasakah,SYR,syrian arab republic,1471670,181511,178415,169130,154208,152561,138954,112075,85742,72128,61537,49715,40364,28940,22828,14235,10384,0,0
al hudaydah,YEM,yemen,3337984,493182,472784,431220,405266,326528,255415,162688,153391,127988,100319,89976,49100,60375,31188,41620,18198,22520,17975
al hudud ash shamaliyah,SAU,saudi arabia,376868,29001,38018,36710,38942,39199,42482,39151,30213,22356,16419,10756,7537,5877,4355,2106,1013,0,0
al isma`iliyah,EGY,egypt,1324403,138343,136428,131865,142883,138521,115330,88877,76815,71086,64357,55645,37075,26411,17784,11983,0,0,0
al jabal al akhdar,LBY,libya,244169,25394,23286,23961,25291,25303,25001,21752,17248,12440,8789,5853,5396,4198,3531,2553,2015,1084,740
al jabal al gharbi,LBY,libya,358478,37282,34188,35179,37132,37149,36706,31935,25323,18263,12904,8593,7923,6164,5185,3748,2959,1592,1087
al jahrah,KWT,kuwait,422844,39217,40878,38643,39686,38485,41086,34937,28866,19801,13573,8959,5361,3722,0,0,0,0,0
al jawf,YEM,yemen,668356,75890,113543,117045,93186,52964,41027,34048,40680,27179,21819,13296,7905,5774,3183,2463,1159,821,699
al jazirah,SDN,sudan,4727137,646151,638909,551453,453496,379935,334483,268348,250147,190969,140892,118651,68835,75090,43050,45328,21463,19528,14719
al jifarah,LBY,libya,534304,55568,50956,52434,55344,55370,54710,47599,37744,27221,19233,12808,11809,9187,7728,5587,4411,2373,1621
al jufrah,LBY,libya,61690,6415,5883,6054,6390,6392,6316,5495,4357,3143,2220,1478,1363,1060,892,645,509,274,187
al khor,QAT,qatar,308252,11912,10395,8651,8545,35015,50194,49222,43845,33532,21656,12484,6708,2529,989,525,0,0,0
al kufrah,LBY,libya,57232,5952,5458,5616,5928,5930,5860,5098,4043,2915,2060,1372,1265,984,827,598,472,254,173
al kuwayt,KWT,kuwait,458105,26968,27707,26936,25057,34302,45687,45373,43311,36168,27325,17498,10883,7359,0,0,0,0,0
al madinah,SAU,saudi arabia,2171912,171141,200340,213703,213781,209467,221237,211902,178345,141728,112321,78716,52877,37311,25052,16076,8260,0,0
al mahrah,YEM,yemen,138179,18864,19498,17585,16610,13344,11316,7648,7146,5516,4590,3731,2032,2457,1361,1525,617,663,429
al mahwit,YEM,yemen,756241,120729,119503,107885,87682,65326,53398,32701,31636,25824,21991,19022,11322,12651,7990,9213,4466,3897,3269
al marj,LBY,libya,218531,22727,20841,21445,22636,22646,22376,19468,15437,11133,7866,5238,4830,3757,3160,2285,1804,970,663
al marqab,LBY,libya,506724,52700,48326,49727,52488,52511,51886,45142,35796,25816,18241,12147,11200,8713,7329,5299,4183,2251,1537
al minufiyah,EGY,egypt,4437528,457683,436553,423724,502413,476403,378002,273702,266579,236388,210880,177705,136894,94347,70899,47323,0,0,0
al qadarif,SDN,sudan,1626903,222494,220074,190065,156098,130529,114755,92149,85950,65704,48529,40878,23745,25905,14873,15640,7419,6734,5086
al qalyubiyah,EGY,egypt,5769020,622067,586891,548510,605143,612848,530931,396133,367877,315101,267441,223283,159994,113305,71406,47315,0,0,0
al qassim,SAU,saudi arabia,1533122,111813,127645,143112,150580,160015,175197,157280,133406,102361,79888,53980,31885,21828,16306,8857,4940,0,0
al wadi al jadid,EGY,egypt,251275,27310,26712,24546,23582,23653,21637,18169,17373,14857,11385,9059,7023,5025,3566,2656,0,0,0
al wahat,LBY,libya,212164,22065,20234,20820,21976,21986,21724,18900,14987,10809,7637,5086,4689,3648,3068,2218,1751,942,643
al wakra,QAT,qatar,203775,9563,8343,6944,6569,22465,32522,31612,27671,21077,13753,8047,4351,1710,716,397,0,0,0
al wusta,OMN,oman,173232,11604,9016,7316,7846,15702,35134,27045,17436,11752,7782,4763,2852,1611,1043,941,588,0,0
al-anbar,IRQ,iraq,1936839,309420,282853,251462,216898,189075,163103,144334,122988,99593,66880,50358,50226,30201,26831,19561,12622,0,0
al-basrah,IRQ,iraq,3201399,511441,467528,415641,358511,312523,269593,238570,203287,164618,110546,83237,83019,49920,44349,32333,20863,0,0
al-jouf,SAU,saudi arabia,563031,53842,54955,55838,55024,56719,63204,55947,44560,34248,24956,16148,10634,7770,5546,3055,1519,0,0
al-muthanna,IRQ,iraq,928712,148366,135627,120575,104002,90661,78207,69208,58972,47754,32068,24146,24083,14481,12865,9379,6052,0,0
al-qadisiyah,IRQ,iraq,1763995,281807,257611,229021,197542,172202,148547,131454,112012,90705,60911,45864,45744,27506,24436,17816,11496,0,0
alagoas,BRA,brazil,3452875,289122,318890,359298,332500,307913,288763,261758,225096,205143,171730,142008,118523,94573,71776,52456,34569,21627,19000
alajuela,CRI,costa rica,1028205,78071,77809,88293,92657,93971,85103,73459,62844,62566,59405,51539,38469,29204,22805,17301,12113,8547,7388
albay,PHL,philippines,1384024,156682,166726,165584,151776,115227,96534,89232,80261,76313,66034,56111,46088,37279,25918,19535,12275,0,0
alberta,CAN,canada,4429796,288619,258259,260520,280992,304678,340221,323416,306469,304671,330966,329863,275731,214835,148230,111739,89752,68115,60779
alborz,IRN,iran (islamic republic of),3227368,269838,244954,245537,286036,364259,375445,301825,241195,212426,174483,152701,116016,80623,58157,48483,39555,24308,15497
alderney,GGY,guernsey,1867,33,58,72,87,72,72,57,59,95,138,147,176,190,207,126,105,0,0
alebtong,UGA,uganda,289390,47597,43108,38211,30738,24770,19330,15172,11937,9886,7155,6285,3735,3423,2342,2159,1170,1023,1038
aleppo,SYR,syrian arab republic,4828963,595611,585477,555050,506104,500666,455948,367703,281292,236629,201901,163065,132385,95023,74886,46678,34048,0,0
alexandria,EGY,egypt,5413460,433101,456339,454025,553542,555356,471889,368817,369102,332525,311467,277307,200697,177156,95312,64380,0,0,0
alger,DZA,algeria,4285658,404220,319103,338944,365474,390776,399408,366924,352791,314370,233313,190397,154964,108290,92710,76066,52755,26156,18513
ali sabieh,DJI,djibouti,123911,14024,15584,13153,13178,12935,12652,10703,8629,6922,5374,4438,2798,2334,0,0,0,0,0
alibori,BEN,benin,1138652,208421,205206,138112,108880,89526,80226,65277,47194,38415,21606,23209,10565,14015,5344,8061,2538,3791,3234
almaty,KAZ,kazakhstan,3992072,352143,260968,262888,379173,436746,356987,315180,291470,261678,263750,212259,171554,108669,94105,87114,47321,34180,17430
alofi,NIU,niue,666,57,54,48,45,39,38,36,34,34,36,42,38,24,23,0,0,0,0
alta verapaz,GTM,guatemala,1443724,212432,196615,176347,155908,129574,110584,89380,70989,56767,46524,38543,34291,28634,21005,16651,12632,0,0
altay,RUS,russian federation,213421,20218,16415,13827,12921,17679,19008,16639,15225,12626,14647,16299,12993,8254,3187,5283,3530,3016,1194
alto paraguay,PRY,paraguay,17269,2145,2118,2121,1895,1668,1404,1066,980,890,750,666,524,391,323,219,124,0,0
alto parana,PRY,paraguay,839854,100655,100565,95519,87755,82544,73696,61615,55831,48116,39581,32424,24648,16631,11281,7353,4679,0,0
alytaus,LTU,lithuania,136717,5276,5742,7614,9896,8774,7148,7044,8749,10054,10832,10607,8538,7572,7125,6856,5999,0,0
amajyaruguru,RWA,rwanda,1849637,238531,264164,233858,199261,173668,151493,119041,81535,67053,56407,57704,43419,32487,19384,17826,13083,9877,7455
amajyepfo,RWA,rwanda,3039259,420414,426448,352489,305423,250349,238275,206873,141573,126550,110235,110058,79469,59005,32576,30456,19321,14175,11412
amambay,PRY,paraguay,168502,20302,19706,19493,18472,16944,14390,11481,9998,8611,7349,6402,5192,3753,2818,2049,1412,0,0
amanat al asimah,YEM,yemen,2551142,309166,307493,310957,346783,341674,238676,146527,125260,104034,77167,61534,35228,31386,17316,17280,7471,6764,6618
amapa,BRA,brazil,943939,94730,98367,107268,99200,92806,86380,74861,63300,50474,39207,30938,22513,15147,11957,8094,5319,3016,2869
amasya,TUR,turkey,324546,20741,22070,26000,25879,34571,24297,23455,22277,20212,22068,18187,17751,15707,12055,10530,8763,4644,1667
amazonas,BRA,brazil,5063390,536903,549278,568236,512198,466928,440539,388547,322301,266581,217683,173775,132442,97248,72846,51440,34720,20451,17651
amazonas,COL,colombia,5063390,536903,549278,568236,512198,466928,440539,388547,322301,266581,217683,173775,132442,97248,72846,51440,34720,20451,17651
amazonas,PER,peru,5063390,536903,549278,568236,512198,466928,440539,388547,322301,266581,217683,173775,132442,97248,72846,51440,34720,20451,17651
amazonas,VEN,venezuela (bolivarian republic of),5063390,536903,549278,568236,512198,466928,440539,388547,322301,266581,217683,173775,132442,97248,72846,51440,34720,20451,17651
amhara,ETH,ethiopia,24068323,2977830,3321645,3054829,2657275,1875607,1645852,1231248,1128711,884807,749523,660839,446406,429363,306612,260270,143341,98006,63593
amman,JOR,jordan,3099279,331286,324899,311186,292123,295300,247338,219343,182477,143068,103161,77128,71703,59690,42050,26505,14052,0,0
ammochostos,CYP,cyprus,50641,2984,2865,3322,3926,3839,4069,3974,3692,3636,3560,3368,2969,2587,2080,1520,0,0,0
amnat charoen,THA,thailand,204648,10253,11081,13177,14393,16124,18562,18891,18314,17818,16043,13333,10115,7739,5561,4768,3250,1959,1256
amolatar,UGA,uganda,197549,32521,29447,26097,20987,16892,13183,10349,8144,6747,4885,4286,2548,2332,1596,1470,797,696,706
amran,YEM,yemen,1345294,224805,224806,192196,154879,117866,95913,60251,53428,42288,35327,29886,19189,20088,12581,13536,6552,5559,4603
amudat,UGA,uganda,156718,25880,23414,20740,16660,13352,10423,8186,6449,5349,3876,3387,2016,1839,1260,1155,630,544,554
amur,RUS,russian federation,758572,47163,43662,38209,47114,66626,65268,61853,57175,47660,52192,57986,55825,41242,20343,27764,13716,9276,3893
amuria,UGA,uganda,360904,59367,53766,47657,38335,30887,24104,18920,14886,12329,8924,7837,4658,4268,2920,2691,1459,1275,1294
amuru,UGA,uganda,242924,39957,36188,32077,25803,20791,16225,12735,10020,8299,6006,5275,3135,2873,1966,1812,982,858,871
an nuqat al khams,LBY,libya,340305,35392,32455,33396,35249,35265,34845,30316,24040,17337,12250,8158,7521,5851,4922,3558,2809,1511,1032
an-najaf,IRQ,iraq,1621199,258995,236757,210482,181551,158262,136523,120812,102945,83363,55981,42151,42041,25279,22458,16373,10565,0,0
anabar,NRU,nauru,549,86,62,56,49,55,53,42,33,26,26,20,15,8,3,1,0,0,0
anambra,NGA,nigeria,5800413,654440,698445,701461,693896,598845,515550,391161,324751,293380,236815,204909,115412,118492,66892,63252,34232,33345,32108
anasco,PRI,puerto rico,30271,1711,1831,2286,2297,1936,1860,2019,2034,2170,2061,2005,1821,1894,1523,1246,783,454,401
ancash,PER,peru,1116084,108007,111780,126816,108113,93653,84706,78207,73981,64628,53385,45230,37037,32789,27566,22133,16230,9628,7368
andalucia,ESP,spain,8191496,463805,455035,426734,440280,491991,563271,671079,686455,662204,628904,547967,443779,392578,353003,280989,272263,192268,143040
andaman and nicobar,IND,india,400991,29356,31073,34149,33690,37858,42559,36442,33509,27279,24345,17652,14076,10595,6362,4187,2300,1365,1161
andhra pradesh,IND,india,92089640,6680310,7764502,8719506,8605484,8645863,8290746,7000047,6918025,5740986,4951615,3888451,3093342,3401385,2304507,1615023,677277,474846,327222
andijan,UZB,uzbekistan,2967723,316182,284510,308702,347407,329798,271806,232441,199544,172778,168922,138614,94822,53932,37471,43036,26327,0,0
andorra la vella,AND,andorra,16091,662,705,836,793,952,1200,1319,1387,1364,1413,1302,1005,799,647,479,421,380,532
andreas,IMN,isle of man,1464,70,85,92,87,47,31,74,105,115,117,97,101,143,90,74,60,31,22
andrijevica,MNE,montenegro,3718,183,224,252,265,220,244,201,220,230,274,294,261,215,141,200,142,94,43
anegada,VGB,british virgin islands,318,24,24,23,20,20,27,29,30,29,27,21,16,12,7,4,2,2,1
anenii noi,MDA,republic of moldova,99134,4700,5830,7697,8843,8225,7051,6042,5933,7617,8196,7322,4018,3277,3241,2317,0,0,0
anetan,NRU,nauru,703,110,79,72,63,71,68,54,42,33,34,26,19,10,3,2,0,0,0
ang thong,THA,thailand,219258,14272,15832,19095,16993,12132,12055,14541,17516,18721,17145,15536,12568,10471,7359,5575,3817,2142,1334
angaur,PLW,palau,1246,113,130,154,8,32,97,105,122,146,73,89,48,65,56,8,32,0,16
angeles city,PHL,philippines,352275,35877,36839,35855,35534,35263,31949,27993,24253,21804,18067,14571,10895,8473,4652,3473,2177,0,0
anhui,CHN,china,58114568,3585360,3228373,3453218,4605538,4768598,3514500,3890583,5194749,6047337,4783765,2483731,3534840,2763756,2143296,1560221,1159961,665451,377740
anibare,NRU,nauru,224,35,25,23,20,22,21,17,13,10,10,8,6,3,1,0,0,0,0
anjouan,COM,comoros,359800,62060,56243,46448,45106,30209,22654,19892,17163,13551,10777,9637,6124,5534,2983,2980,1506,0,0
ankara,TUR,turkey,6076695,454934,445029,481695,467280,545222,568854,560980,508698,440403,446800,348835,292704,214362,148185,110278,84386,51473,25273
annaba,DZA,algeria,820042,67824,56687,65553,74823,79377,81187,71969,62219,55605,46430,39673,32905,21754,17407,13643,9513,5006,3058
anse la raye,LCA,saint lucia,7286,528,601,720,653,604,538,467,489,502,410,315,207,192,158,138,104,93,72
anseba,ERI,eritrea,897243,118883,99330,79899,74226,71451,62640,47915,34156,26311,21483,17500,13397,10862,7000,4103,2172,0,0
antalya,TUR,turkey,2136768,171606,166170,179777,167373,158282,193530,205512,191361,160050,155262,117284,99452,71786,50571,38198,28596,16457,7232
antananarivo,MDG,madagascar,7935181,1214787,1091907,980884,828182,683385,538588,497628,414271,332351,270551,219172,172463,114975,84794,62518,39882,0,0
antioquia,COL,colombia,6302425,608137,635235,668770,640723,568434,512501,457727,487909,474530,400538,319707,247687,185821,151467,118339,82764,0,0
antique,PHL,philippines,657805,69261,73765,74852,69622,56325,46511,41940,38580,36438,33247,28446,22654,17983,14966,12031,8139,0,0
antofagasta,CHL,chile,643038,53589,51270,51960,58369,55677,54588,47552,50928,46482,45240,39115,29541,21108,15139,10233,7515,0,0
antsiranana,MDG,madagascar,2110095,323031,290355,260833,220227,181723,143219,132327,110161,88377,71944,58281,45860,30573,22548,16624,10605,0,0
anzoategui,VEN,venezuela (bolivarian republic of),1795632,151429,151982,158174,159388,156344,146657,142401,122535,106623,90108,76757,63023,47373,30841,21631,15103,9260,7823
aomori,JPN,japan,1216574,43349,51302,59050,60212,50296,58804,69500,78820,76114,78975,84088,96228,101487,79070,75726,70895,49795,39903
apac,UGA,uganda,487186,80159,72592,64341,51751,41684,32529,25534,20092,16643,12047,10577,6287,5759,3941,3630,1969,1720,1745
apayao,PHL,philippines,148241,16364,16609,17221,15979,13160,11480,10564,9455,8298,7396,6127,4452,3336,2413,1941,1239,0,0
apia urban area,WSM,samoa,34839,4681,3938,3868,3832,3085,2675,2290,2005,1905,1690,1428,1134,743,616,469,0,0,0
appenzell ausserrhoden,CHE,switzerland,52528,2438,2432,3106,3568,3460,3103,2923,3221,4091,4530,4181,3608,3245,2705,2068,1726,1397,1458
appenzell innerrhoden,CHE,switzerland,16418,846,861,1070,1226,1173,1130,939,1077,1188,1330,1119,966,903,729,664,622,441,354
apure,VEN,venezuela (bolivarian republic of),565460,55344,57475,59598,59603,51306,42850,37842,33219,29762,24763,20038,15869,11433,7938,5851,4436,2572,2044
apurimac,PER,peru,406250,46332,48610,55868,40622,28729,26550,25556,24316,21356,17665,13954,11527,10820,9570,7170,5737,3454,3011
