NAME1,ISOALPHA,COUNTRYNM,tot_popn_2020,A00_04B,A05_09B,A10_14B,A15_19B,A20_24B,A25_29B,A30_34B,A35_39B,A40_44B,A45_49B,A50_54B,A55_59B,A60_64B,A65_69B,A70_74B,A75_79B,A80_84B,A85PLUSB
smiths,BMU,bermuda,4686,255,293,252,251,199,242,297,362,399,425,381,356,302,228,190,116,99,51
smolensk,RUS,russian federation,924620,43792,38673,36213,50135,77109,73804,68350,63371,59313,71743,81823,70596,55581,27340,43512,25616,23719,11975
smolyan,BGR,bulgaria,106326,4258,3969,4278,5238,6177,6837,7226,7095,7791,8561,9558,8856,7965,5850,5156,3864,2384,1379
sodermanland,SWE,sweden,286284,16215,15984,15420,19724,17255,14661,15180,17775,19511,19609,18087,18251,20774,19165,13468,10091,7999,8123
sofala,MOZ,mozambique,2426554,412971,346628,289519,223113,188487,169847,131298,109109,80820,70591,56657,43463,31326,22946,15263,10865,5454,6830
sofia,BGR,bulgaria,224288,10040,9726,10407,11257,11826,13580,14985,16071,16131,15744,16053,15864,17405,13155,11830,10370,6488,3611
sogn og fjordane,NOR,norway,110745,6522,7024,7647,8221,7230,5775,5627,6766,7545,7550,7488,7227,6780,5214,4068,3445,2890,3396
sohag,EGY,egypt,5143114,591191,604375,616113,631317,483808,377334,268908,282475,235219,216090,172737,135467,102336,83528,57375,0,0,0
sokoto,NGA,nigeria,5358286,1078804,875470,581597,507400,441404,421715,344528,244013,234686,131048,159992,63865,96978,31932,53106,16576,30806,23094
soldanesti,MDA,republic of moldova,41446,2276,2651,3626,2967,2598,2499,2627,2728,3197,2802,2399,1731,1896,1730,1452,0,0,0
solola,GTM,guatemala,564056,82964,76789,68877,60899,50622,43213,34938,27756,22195,18188,15065,13400,11189,8209,6507,4936,0,0
solothurn,CHE,switzerland,266311,11898,12564,14194,15864,17274,17302,15912,17086,21580,23259,21222,17989,16308,13965,10658,9561,7071,6355
somali,ETH,ethiopia,6898949,637443,992691,1148527,892454,598184,413119,353968,317599,303530,188986,159795,72200,94536,33689,39077,18190,15473,8199
songkhla,THA,thailand,1595765,102993,108664,124537,128212,127629,131417,133921,133503,127503,114139,93651,71271,55757,40001,34898,25553,15790,10703
sonora,MEX,mexico,3172962,285323,295520,292054,285989,259495,235740,234170,230573,195933,168154,146298,110668,84713,63981,49970,31942,19399,15059
sonsonate,SLV,el salvador,494432,48958,61219,61398,52327,43136,39008,33456,29329,24615,20451,16818,14194,11644,9654,7392,5669,3262,2768
sonsorol,PLW,palau,89,7,11,7,7,1,11,6,16,7,5,5,1,0,0,2,0,0,0
sor-trondelag,NOR,norway,331546,20958,19670,20730,21469,24302,23400,22044,23685,24421,22265,20793,19639,18815,15324,10415,8499,7213,6936
soriano,URY,uruguay,83167,5573,6461,7115,6769,5020,5384,5646,5089,4636,4588,4693,4385,4022,3193,2750,2377,1725,1353
soroca,MDA,republic of moldova,96459,4258,5421,6972,7653,6246,6201,6125,6435,7632,6935,6046,4106,4713,4107,3375,0,0,0
soroti,UGA,uganda,400322,65850,59637,52862,42522,34261,26736,20986,16512,13676,9898,8693,5167,4734,3239,2985,1618,1415,1435
sorsogon,PHL,philippines,843728,97563,107490,110073,94061,63892,52679,51867,48415,46396,39865,32882,25924,21421,16979,12612,7776,0,0
soto,CUW,curacao,2400,142,157,171,182,129,123,127,158,177,204,190,165,145,113,85,61,38,32
sottunga,ALA,aland islands,108,1,2,9,6,3,5,5,0,7,3,12,11,4,9,3,6,2,9
souax,CUW,curacao,6975,415,457,500,531,376,357,369,460,515,592,552,481,423,328,246,177,112,93
soufriere,LCA,saint lucia,10191,722,747,902,919,788,768,669,620,690,633,519,353,288,258,263,141,115,110
souk ahras,DZA,algeria,544603,49792,43070,49376,53932,59277,56300,42844,37085,32145,27936,22061,18024,11724,10375,8144,6488,3594,2201
souss-massa,MAR,morocco,2949864,289896,265660,264212,251852,253468,237478,230136,211685,196644,162007,147092,109514,94479,59400,51947,0,0,0
sousse,TUN,tunisia,775695,68587,62099,55607,58370,70843,71345,71392,58265,50588,45393,41621,36581,27288,15933,12619,9220,0,0
south,ISL,iceland,6732230,1069201,903487,800837,663359,549754,456389,373982,314253,275408,236051,193116,157405,124468,93773,72129,43709,795,620
south,LBN,lebanon,6732230,1069201,903487,800837,663359,549754,456389,373982,314253,275408,236051,193116,157405,124468,93773,72129,43709,795,620
south,SOM,somalia,6732230,1069201,903487,800837,663359,549754,456389,373982,314253,275408,236051,193116,157405,124468,93773,72129,43709,795,620
south and east serbia,SRB,serbia,1360706,55445,63385,65934,77009,79904,81449,83367,89314,86790,88646,94237,110667,104653,71121,71607,63316,38162,17193
south ari atoll,MDV,maldives,6746,563,654,758,868,916,713,555,440,305,302,193,94,99,0,0,0,0,0
south australia,AUS,australia,1900493,110889,107506,112627,119071,121602,120334,112649,119779,129546,130355,128895,117561,112469,86080,67497,53811,45645,43976
south caicos,TCA,turks and caicos islands,962,62,60,65,56,42,65,89,91,81,68,59,42,31,20,12,12,9,7
south cotabato,PHL,philippines,1630477,194165,183263,176470,175574,157755,131668,121392,106901,95241,77894,62825,46256,33135,22008,15894,9214,0,0
south east,BWA,botswana,117755,13387,12135,11699,11892,11305,11725,9618,7624,5600,4645,3750,3054,2122,1568,1258,1012,749,1118
south eastern,MLT,malta,70095,3905,3581,4006,4553,5286,5710,5708,5475,4316,4167,5184,4744,4842,3454,2167,1751,1100,665
south hamgyong,PRK,democratic people's republic of korea,3233782,228703,245769,260435,240099,179202,216669,222459,296870,270004,206986,173361,116572,143192,123042,90618,45955,0,0
south holland,NLD,netherlands,3636070,208666,211349,211885,220213,236633,237736,233980,250803,278333,276522,253598,229324,234741,157943,131513,103767,78152,70564
south huvadhu atoll,MDV,maldives,6522,751,818,961,722,504,426,386,348,257,306,215,198,158,0,0,0,0,0
south hwanghae,PRK,democratic people's republic of korea,2629542,180040,208838,241237,203944,147517,164515,169626,222757,200307,152562,149422,102443,125131,106635,79551,39568,0,0
south kazakhstan,KAZ,kazakhstan,3272500,416161,322002,328220,354009,317953,253576,227872,211058,193251,182330,135153,100370,57941,53194,42903,20805,15496,8674
south khorasan,IRN,iran (islamic republic of),716397,59888,54365,54498,63490,80864,83343,66998,53532,47151,38732,33898,25757,17906,12915,10762,8777,5396,3440
south maalhosmadulu,MDV,maldives,6983,635,762,934,915,663,508,458,457,424,367,220,140,128,0,0,0,0,0
south miladhunmadulu,MDV,maldives,6171,639,733,978,813,508,408,346,335,307,300,151,119,134,0,0,0,0,0
south nilandhe atoll,MDV,maldives,4678,436,497,608,595,460,346,301,333,301,252,109,98,85,0,0,0,0,0
south of nantes river,MSR,montserrat,945,56,58,67,60,50,56,56,69,76,72,62,59,51,43,0,0,0,0
south sinai,EGY,egypt,179618,11049,11360,9655,11023,25456,30111,24385,16473,10862,8000,5422,3194,1973,1329,618,0,0,0
south thiladhunmathi,MDV,maldives,10710,1059,1314,1705,1374,939,678,585,593,540,496,329,231,216,0,0,0,0,0
south waikato,NZL,new zealand,22704,1731,1640,1704,1532,1245,1061,1073,1195,1447,1453,1529,1315,1187,1128,926,634,444,266
southampton,BMU,bermuda,6525,322,315,283,311,362,452,478,532,492,602,551,479,363,330,258,200,127,88
southeast,VNM,viet nam,20433988,1515228,1411642,1359478,2015299,2491756,2242185,1831720,1678348,1438133,1227664,977322,609555,353128,296207,250550,197329,111596,81872
southeastern,MKD,the former yugoslav republic of macedonia,173845,9489,9545,10268,12033,13409,13774,12858,12301,12517,12902,12881,11412,8869,7252,5910,4409,2394,987
southern,BHR,bahrain,6783815,896106,807928,688118,649855,531877,508130,457148,398420,327024,288634,253446,204456,177037,107830,74876,58336,6819,7699
southern,BWA,botswana,6783815,896106,807928,688118,649855,531877,508130,457148,398420,327024,288634,253446,204456,177037,107830,74876,58336,6819,7699
southern,LKA,sri lanka,6783815,896106,807928,688118,649855,531877,508130,457148,398420,327024,288634,253446,204456,177037,107830,74876,58336,6819,7699
southern,SLE,sierra leone,6783815,896106,807928,688118,649855,531877,508130,457148,398420,327024,288634,253446,204456,177037,107830,74876,58336,6819,7699
southern,ZMB,zambia,6783815,896106,807928,688118,649855,531877,508130,457148,398420,327024,288634,253446,204456,177037,107830,74876,58336,6819,7699
southern darfur,SDN,sudan,7263860,994295,984055,850777,697125,580979,509519,409808,382646,293200,216992,182857,106448,116149,66855,70144,33377,30170,22877
southern finland,FIN,finland,2381688,135070,129544,127591,142668,146546,161435,166205,156923,162314,174482,162574,161028,166970,127616,96791,69231,53801,44693
southern great plain,HUN,hungary,1175031,51859,55493,58424,73020,72156,67054,83227,92315,83003,72569,80699,94589,80255,64427,53053,41697,29769,21382
southern harbour,MLT,malta,74606,3427,3451,3806,4470,5045,5532,5295,4818,4115,4292,5351,5502,5893,4831,3252,2804,1844,1434
southern highlands,PNG,papua new guinea,635494,76085,79524,71102,74914,61058,55539,45272,44638,33894,30219,21233,15277,11477,7756,4356,2393,1090,742
southern islands,COK,cook islands,20549,1559,1509,1472,1522,1283,1294,1149,1218,1280,1299,1072,894,780,673,517,296,0,0
southern kordofan,SDN,sudan,1515934,207298,205031,177053,145447,121665,106990,85899,80112,61226,45212,38082,22116,24127,13849,14566,6907,6272,4736
southern leyte,PHL,philippines,424263,42908,46094,47708,43237,33343,27768,27156,24848,24923,22859,19635,15848,13716,11034,8816,5704,0,0
"southern nations, nationalities and peoples",ETH,ethiopia,23317094,3332601,3804206,3041889,2376831,1704046,1649904,1223181,1118289,806454,628534,470879,280036,290064,175777,142476,79020,66708,60192
