PUMA,ST,REGION,prop_vaxxed,pop_size,perc_born_before_1980,perc_born_before_cessation,perc_foreign_born,overall_cvg,perc_vaxxed
100,1,3,0.3791432371538431,186345,48.37425205935227,0.4115806702621482,3.028254044916687,0.9215617553635274,37.91432371538431
100,4,4,0.24188815429448937,168529,36.46494075203674,0.2625601528520314,9.403722801416967,0.9280395808841104,24.188815429448937
100,5,3,0.29462171637736095,279166,39.12869045657422,0.31892494071627636,13.728390993172521,0.9330989402186316,29.462171637736095
100,8,4,0.3595258094175928,111262,44.18130179216624,0.3844888641225216,9.293379590516079,0.9365766493884292,35.95258094175928
100,9,1,0.4223283211586316,168980,51.35104746123802,0.4546751094804119,25.79003432358859,0.9280933083766675,42.23283211586316
100,13,3,0.3750040608147553,154180,46.71812167596316,0.3907640420287975,3.1125956674017385,0.9656575117621947,37.50040608147553
100,15,4,0.39241569453181363,240133,49.35514902158387,0.4249061978153773,22.04569967476357,0.9343311543386125,39.24156945318136
100,16,4,0.3833566330321274,126843,48.02708860559905,0.4150248732685288,4.2974385657860505,0.9192086989251904,38.33566330321274
100,19,2,0.3926165361102727,116975,45.23445180594144,0.40194913443043384,3.777730284248771,0.9763837787501776,39.26165361102727
100,20,2,0.36411779991590154,106846,45.7911386481478,0.3987233962899875,4.600078617823784,0.9113283432731655,36.41177999159015
100,21,3,0.3844155810079841,195436,47.746576884504385,0.4022697967621114,2.3066374669968686,0.9623691884023557,38.44155810079841
100,22,3,0.33824726662847027,118091,44.163399412317624,0.36913058573473,2.1161646526831,0.9167101322109695,33.82472666284703
100,23,1,0.4688547076207434,98577,54.98442841636487,0.4819278330645079,5.561134950343386,0.9786302782893823,46.88547076207434
100,24,3,0.40918030121630117,99787,50.65589706073938,0.4265084630262459,2.4712637918766975,0.9637854280869769,40.91803012163012
100,25,1,0.4593579373906201,124680,55.23820981713185,0.47759865255052936,6.839108116778954,0.9658982749655115,45.93579373906201
100,26,2,0.3626934631948902,169145,49.394897868692546,0.4291938869017707,2.8153359543586864,0.8377334644674785,36.269346319489024
100,27,2,0.3508038008029896,148679,42.94285003262061,0.3653710342415539,5.810504509715562,0.962701956233864,35.08038008029896
100,28,3,0.3007045256567781,184919,41.299704194809614,0.3176309627458509,4.179127077260855,0.9499920652405119,30.070452565677808
100,29,2,0.377822243390401,111814,46.329618831273365,0.39238378020641423,2.0954442198651333,0.9627058968193798,37.7822243390401
100,30,4,0.38331944482310143,137110,49.18240828531836,0.4179855590401867,3.362263875720225,0.9091752610957408,38.33194448231014
100,31,2,0.39709094336579853,105913,48.055479497323276,0.42199729967048427,2.7598122987735216,0.9450637218001686,39.70909433657985
100,33,1,0.4282654720630407,121458,51.79321246850763,0.44234220882938957,5.735315911673171,0.9719134236466924,42.82654720630407
100,35,4,0.30247279468655325,130898,39.52772387660622,0.32546715763418843,1.162737398585158,0.9292712809415707,30.247279468655325
100,36,1,0.37487176580699927,108024,46.75442494260535,0.39070947196919203,3.5954972968969856,0.9578496666974748,37.48717658069992
100,37,3,0.39550228868030074,133681,47.41212288956545,0.40651251860773036,2.8807384744279294,0.976766222659913,39.550228868030075
100,38,2,0.31055462736173467,214240,37.14899178491412,0.3168689320388349,3.87042569081404,0.9696745322945699,31.055462736173467
100,39,2,0.35863206520874535,120431,48.24671388595959,0.40018765932359607,2.7384975629198465,0.8963522557191581,35.863206520874535
100,40,3,0.37653043718760715,167790,47.14464509207939,0.39973180761666366,2.567495083139639,0.9457913145333023,37.65304371876071
100,41,4,0.3484283437202747,127319,45.86511047055035,0.38142775233861403,7.098704828030381,0.9144141126883948,34.84283437202747
100,46,2,0.3889936838869783,191458,46.340711801021634,0.40506534070135486,2.21667415307796,0.9623574851530275,38.89936838869783
100,47,3,0.36487955621867574,138167,46.76876533470365,0.38263840135488214,2.4484862521441446,0.9547913683011499,36.48795562186757
100,48,3,0.31137823697583994,183700,40.22808927599347,0.33910179640718563,15.40827436037017,0.9233082744277349,31.137823697583993
100,50,1,0.35061498070136027,219906,44.04882085982192,0.36545160204814786,8.175766009112985,0.966693797299538,35.061498070136025
100,54,3,0.4212832690667896,121940,54.50303427915368,0.45229621125143515,1.958340167295391,0.9329726777116758,42.12832690667896
100,55,2,0.451499144946599,174552,56.021701269535725,0.4771586690499106,1.7897245519959668,0.9476185577778127,45.149914494659896
100,56,4,0.36973182465303694,114357,48.228792290808606,0.39090742149584196,5.023741441276004,0.9465889021790835,36.973182465303694
101,2,4,0.26290745087114653,137407,35.29441731498395,0.28671756169627455,14.540016156382135,0.919235035128932,26.290745087114654
101,4,4,0.39323645280165015,179823,50.58307335546621,0.4247676882267563,9.5282583429261,0.928742124409098,39.32364528016502
101,6,4,0.2919532872071192,142926,37.34310062549851,0.32076039349033764,23.18542462533059,0.9134515599194398,29.19532872071192
101,9,1,0.3482701272996532,120097,48.08946101900963,0.3751467563719327,13.5765256417729,0.9333083375518147,34.82701272996532
101,10,3,0.32233719191888316,106155,43.33945645518346,0.3540294851867552,9.010409307145212,0.9080949039543142,32.23371919188832
101,11,3,0.33624761873202347,101407,42.86686323429349,0.36957014801739524,20.022286429930872,0.9147391883271999,33.624761873202345
101,12,3,0.21718228217040508,151113,28.572657547663006,0.23213092189288811,12.729546763018403,0.9458528045879804,21.718228217040508
101,18,2,0.3297986287790192,106394,45.31552531157772,0.36099780062785497,13.833486850762261,0.9170532595106319,32.97986287790192
101,22,3,0.33374953663977414,121658,45.624619835933515,0.36223676207072286,1.8691742425487843,0.9177549080228061,33.374953663977415
