ISOALPHA,COUNTRYNM,NAME1,mu,sigma,tot_popn_2020,prop_vaxxed,overall_cvg,mean_age,perc_born_before_1980,perc_born_before_cessation,perc_vaxxed,diff
ABW,aruba,noord-tanki leendert,NA,NA,24652,NA,NA,35.22941379706391,40.047892652166546,NA,NA,NA
ABW,aruba,oranjestad east,NA,NA,13074,NA,NA,38.784767124871735,46.468286554032176,NA,NA,NA
ABW,aruba,oranjestad west,NA,NA,14884,NA,NA,37.02953863548685,43.24043800270504,NA,NA,NA
ABW,aruba,paradera,NA,NA,14918,NA,NA,34.96455307957075,39.5738142946698,NA,NA,NA
ABW,aruba,san nicolas north,NA,NA,9891,NA,NA,36.87329016736745,42.58911047832357,NA,NA,NA
ABW,aruba,san nicolas south,NA,NA,3784,NA,NA,38.96336900862989,47.418052931625795,NA,NA,NA
ABW,aruba,santa cruz,NA,NA,12139,NA,NA,37.129887496052675,43.88622646692484,NA,NA,NA
ABW,aruba,savaneta,NA,NA,12054,NA,NA,37.08994241976494,44.01474216448284,NA,NA,NA
AFG,afghanistan,badakhshan,11.156209127300547,1.5888915874605989,1489481,0.1035157591740425,95,20.06503289777948,12.408233065510998,10.89639570253079,10.35157591740425,0.8046332098962967
AFG,afghanistan,badghis,11.156077815098094,1.5935864252550072,791049,0.10350480144430096,95,20.06432953798737,12.407062884354575,10.89524225729484,10.350480144430096,0.8055976706679981
AFG,afghanistan,baghlan,11.195307798740624,1.585260102241372,1159729,0.10349483283919322,95,20.063689668581787,12.405998332286948,10.894192930441395,10.349483283919325,0.8458245148212988
AFG,afghanistan,balkh,11.189593829295632,1.5915361410338222,1573329,0.10350215518930198,95,20.06415967895544,12.406780289528095,10.894963704137048,10.350215518930195,0.8393783103654364
AFG,afghanistan,bamyan,11.171765685136734,1.5779365764322364,610995,0.10353417477374376,95,20.06621496675574,12.410199676137742,10.89833418670987,10.353417477374377,0.818348207762357
AFG,afghanistan,daykundi,11.176121873249334,1.5937381292791972,614436,0.10348789791472214,95,20.063244526462988,12.4052577484134,10.89346293839181,10.348789791472214,0.8273320817771204
AFG,afghanistan,farah,11.179589322044835,1.595393655694136,757805,0.10349198978424642,95,20.06350717726437,12.405694721100696,10.893893661499623,10.349198978424642,0.8303903436201931
AFG,afghanistan,faryab,11.207478791068096,1.5934879524305672,1437769,0.1035095074197246,95,20.064631607300424,12.40756543770214,10.895737623128904,10.35095074197246,0.8565280490956368
AFG,afghanistan,ghazni,11.179356573284885,1.5812053721353196,1027163,0.10350572309506714,95,20.064388697330276,12.407161307877043,10.895339273164964,10.350572309506717,0.8287842637781679
AFG,afghanistan,ghor,11.126013746238666,1.562204765184768,995321,0.10350715328531591,95,20.064480499039195,12.407314038572055,10.895489819506938,10.350715328531592,0.7752984177070736
AFG,afghanistan,hilmand,11.143400423989116,1.6101141726606218,1211209,0.10348890542317912,95,20.063309196878805,12.40536534071938,10.893568991913586,10.34889054231791,0.7945098816712051
AFG,afghanistan,hirat,11.159069272638936,1.629545699833436,2895183,0.10353586934691582,95,20.066323738797223,12.410380640410532,10.898512562833243,10.35358693469158,0.8054823379473568
AFG,afghanistan,jawzjan,11.190782522588416,1.5714376291519567,631305,0.10352022969763416,95,20.06531985380217,12.408710474845758,10.896866283961494,10.352022969763416,0.8387595528249996
AFG,afghanistan,kabul,11.18739671674719,1.6015448371083412,5782473,0.10346734446330454,95,20.061925232078337,12.403062835587871,10.891299417189952,10.346734446330451,0.8406622704167379
AFG,afghanistan,kandahar,11.146953225741996,1.578948650808886,1716105,0.10349267815574206,95,20.063551362770266,12.405768232619216,10.89396612165706,10.349267815574208,0.7976854101677873
AFG,afghanistan,kapisa,11.159087640541994,1.5967255734565995,573971,0.10354931512440405,95,20.067186802541453,12.411816521365918,10.899927907832,10.354931512440404,0.8041561281015905
AFG,afghanistan,khost,11.182696218210507,1.57749556056773,1017157,0.10349929513691342,95,20.063976096598427,12.406474863176983,10.894662645990888,10.34992951369134,0.8327667045191678
AFG,afghanistan,kunar,11.177015446891044,1.5954928848155272,643147,0.10349878120405703,95,20.063943108040075,12.406419980043488,10.894608547795478,10.349878120405704,0.8271373264853406
AFG,afghanistan,kunduz,11.198879509763064,1.6167684511175533,1087995,0.10351931811176368,95,20.0652613405094,12.408613126158276,10.896770327554073,10.351931811176367,0.8469476985866962
AFG,afghanistan,laghman,11.218287604179404,1.573310874246587,650462,0.10349543250771108,95,20.063728160380172,12.406062371172396,10.894256053443272,10.349543250771106,0.8687443534082977
AFG,afghanistan,logar,11.186662146981888,1.594304193787778,543766,0.1035210917983206,95,20.065375190717184,12.408802538986956,10.896957031402168,10.35210917983206,0.8345529671498273
AFG,afghanistan,nangarhar,11.157574117652354,1.6123111114398996,2134202,0.10349965831510936,95,20.06399940844737,12.406513647148785,10.894700875274667,10.349965831510936,0.8076082861414182
AFG,afghanistan,nimroz,11.1795184057358,1.6125033372865587,198688,0.10350292207850932,95,20.064208904392295,12.406862185990288,10.89504442931677,10.35029220785093,0.8292261978848696
AFG,afghanistan,nuristan,11.185181896936331,1.5975504029929508,203236,0.1035116243905081,95,20.0647674923939,12.407791510016208,10.895960462158747,10.35116243905081,0.8340194578855211
AFG,afghanistan,paktika,11.18205261348413,1.6026000344595417,568559,0.10349078889862952,95,20.063430094266536,12.40556647795608,10.89376725248732,10.349078889862954,0.8329737236211763
AFG,afghanistan,paktya,11.204284143666552,1.5897453458149746,759246,0.10350452605962912,95,20.06431186146951,12.407033475894854,10.895213269434644,10.350452605962913,0.8538315377036394
