ISOALPHA,COUNTRYNM,mean_vax,overall_cvg,mean_age,perc_born_before_1980,perc_born_before_cessation,min_admin1_vax,max_admin1_vax,std_admin1_vax
SEN,senegal,11.931831729898635,83,21.48449182325842,13.586678732320697,14.375700879395948,11.886845237916312,11.972167661682215,0.02044354549068837
SGP,singapore,32.34403554824725,89,33.017448927823274,34.542656317596354,36.341612975558704,29.43065290507021,35.31977840811457,2.223251651120155
SHN,saint helena,20.445479910211517,60,39.871346934722396,48.232415888758396,34.07579985035253,9.782792665726376,24.619047619047617,8.03864289029946
SLB,solomon islands,13.392731257339042,80,23.35462155005031,15.82314134103733,16.740914071673803,11.451283876859254,20.335415981585008,2.623081381883515
SLE,sierra leone,11.411516244167043,84.33333333333334,20.80040256368682,11.920325579303947,12.821928364232633,10.54723785980362,11.982370989604874,0.6278480649644278
SLV,el salvador,19.003202910451158,80,27.49049777349437,22.694898577511914,23.75400363806395,17.279362826811468,20.13554859137411,1.0179083704067458
SMR,san marino,42.038324697485365,81.5,42.34955690019275,50.92161706697659,52.72757187068873,42.00569987253805,42.07239266328795,0.021662786801031283
SOM,somalia,10.929960806433321,80,20.604112826186196,13.66245100804165,13.66245100804165,10.92996080643332,10.929960806433323,1.7763568394002505e-15
SPM,saint pierre and miquelon,40.71669539307193,77.5,39.6755034977852,47.42440416693631,54.54829516453871,40.6989551381467,40.90015788781195,0.14227182868167715
SRB,serbia,38.6592866115634,80,41.814037583561245,49.631869584478686,48.324108264454246,37.305130359143,40.349343394991656,1.3039651984289462
SSD,south sudan,13.255575991834432,88,19.947890662470368,10.25772459321773,15.063154536175492,12.226689232532104,15.42498337829664,0.9213967643935487
STP,sao tome and principe,13.268002481199455,80,23.044084806885852,15.69848223591607,16.585003101499314,13.266790189970097,13.297651556526482,0.0218222815687036
SUR,suriname,26.8526807435237,87.5,30.565822117482547,29.1987219859126,30.592573131977726,19.76952432673337,36.84507786100221,5.44255655467856
SVK,slovakia,34.89519923033303,80,38.50076770364546,42.29370262447168,43.61899903791628,31.5297899467563,37.039550868919015,2.056747684848476
SVN,slovenia,36.98368833955885,80,41.11565178215295,47.72085361048892,46.229610424448566,35.38664675984513,39.58006429422476,1.3861553074030295
SWE,sweden,40.34057561480052,98,40.584850373396044,46.67451760543193,41.1638526681638,35.799528900480595,46.1860081529186,2.8636901494441727
SWZ,swaziland,13.62950286530959,85,23.139759081269798,15.237536900415982,16.034709253305405,13.303321509894744,14.07161914279182,0.32353756858899907
SXM,sint maarten (dutch part),NA,NA,33.96426676912093,36.63815896780279,NA,NA,NA,NA
