ISOALPHA,COUNTRYNM,mean_susceptibility,overall_cvg,mean_age,perc_born_before_1980,perc_born_before_cessation,min_admin1_susc,max_admin1_susc,std_admin1_susc
SUR,suriname,83.97191042986115,87.5,27.32663804454164,21.46356492003988,22.62517488550793,70.27306037821567,84.31610251344571,4.583499060195651
SVK,slovakia,71.83965498323008,80,38.50069519675203,42.29357571438636,43.61887394171302,70.1091297259903,74.55556374230757,1.6598298091230304
SVN,slovenia,70.15410652976513,80,41.11555723696052,47.720959050658166,46.22969868375909,68.05718662952646,71.44307748264609,1.1189808782775659
SWE,sweden,67.4452557765805,98,40.584778077029604,46.67441704068769,41.16372584707725,62.728082799782015,71.10982304476897,2.311003277807676
SWZ,swaziland,89.00188228833738,85,23.13897640418825,15.236249132227815,16.03341017809258,88.64569520316027,89.26476207005047,0.2607676678112599
SXM,sint maarten (dutch part),NA,NA,33.9415992691512,36.60047827605664,NA,NA,NA,NA
SYC,seychelles,NA,NA,26.52578664509017,21.570888519412858,NA,NA,NA,NA
SYR,syrian arab republic,90.19034673822425,66,24.501282205369435,17.438335739079836,18.417733584498823,90.18690376368824,90.19108864691444,0.0010645327480412643
TCA,turks and caicos islands,NA,NA,34.14350300910142,33.74521953099523,NA,NA,NA,NA
TCD,chad,90.17634450206057,78.33333333333333,19.49131030758713,12.033667833535743,16.24806061821328,87.93988169000357,91.18924001581283,0.7951071087453246
TGO,togo,88.25189966714063,94.33333333333334,22.584569799058702,14.404663923730102,15.323942258996105,87.18945502236488,88.74878872119378,0.5689956696608328
THA,thailand,73.68242666593181,85,35.16221536337542,36.647621424444836,38.36660592472954,69.47324006845909,76.66969586997759,2.468466922274514
TJK,tajikistan,86.98695021873893,91,24.443861248239337,17.72001822141574,17.72001822141574,83.63575431986226,88.13546800815779,1.8718915061843013
TKL,tokelau,NA,NA,27.34208918753818,25.5222968845449,NA,NA,NA,NA
TKM,turkmenistan,84.31691087244408,91,26.846918942576135,21.355841234739845,21.355841234739845,84.31688445588009,84.31694916842515,2.715149593000092e-5
TLS,timor-leste,NA,NA,23.119571520360118,17.04373190761452,NA,NA,NA,NA
TON,tonga,86.82674598340476,80,25.977049329807606,21.516914379502143,20.404668551107868,81.20164705882353,87.25071256846148,2.292235754052086
TTO,trinidad and tobago,81.74895880770718,80,32.65091717685325,32.379615902059015,28.26989032263448,76.39884295736643,83.44031090004674,1.8804075157065505
